county,ev_2025,ev_2021,total_ports,total_ports_2021,evs_per_port
Alameda,134821,45216,2781,569,48.47932398417835
Alpine,37,8,18,12,2.0555555555555554
Amador,818,225,38,29,21.526315789473685
Butte,3608,964,155,36,23.27741935483871
Calaveras,1070,268,43,9,24.88372093023256
Colusa,218,47,98,20,2.2244897959183674
Contra Costa,69151,20999,1104,278,62.63677536231884
Del Norte,257,90,41,21,6.2682926829268295
El Dorado,9061,2801,274,91,33.06934306569343
Fresno,16394,4120,859,204,19.08498253783469
Glenn,269,69,12,8,22.416666666666668
Humboldt,3339,1456,258,72,12.94186046511628
Imperial,2280,274,177,36,12.88135593220339
Inyo,351,80,105,38,3.342857142857143
Kern,14502,2990,1264,113,11.473101265822784
Kings,1972,402,227,62,8.687224669603523
Lake,979,294,31,10,31.580645161290324
Lassen,125,19,15,4,8.333333333333334
Los Angeles,555066,151840,17607,4529,31.525302436530925
Madera,1973,446,177,66,11.146892655367232
Marin,26476,9435,606,161,43.68976897689769
Mariposa,304,74,120,16,2.533333333333333
Mendocino,2287,927,241,94,9.489626556016598
Merced,4379,908,223,38,19.63677130044843
Modoc,37,1,12,4,3.0833333333333335
Mono,260,63,75,31,3.466666666666667
Monterey,12348,3361,592,189,20.85810810810811
Napa,6276,1966,540,256,11.622222222222222
Nevada,3588,1078,141,49,25.4468085106383
Orange,251524,74375,5337,964,47.12834925988383
Placer,27050,6313,605,123,44.710743801652896
Plumas,168,42,26,6,6.461538461538462
Riverside,105531,22779,2227,744,47.387067804220926
Sacramento,67306,15528,2207,328,30.496601721794292
San Benito,2665,685,90,23,29.61111111111111
San Bernardino,75485,16482,2579,412,29.26909654905002
San Diego,189133,48863,4986,795,37.932811873245086
San Francisco,50104,16026,1040,267,48.176923076923075
San Joaquin,21318,4018,579,94,36.818652849740936
San Luis Obispo,13018,3880,769,316,16.92847854356307
San Mateo,77440,26087,3555,564,21.783403656821378
Santa Barbara,17182,5031,743,172,23.125168236877524
Santa Clara,196192,69803,5990,1589,32.75325542570952
Santa Cruz,14570,5701,303,122,48.085808580858085
Shasta,3117,727,246,16,12.670731707317072
Sierra,39,4,3,1,13.0
Siskiyou,466,100,125,33,3.728
Solano,15566,4230,498,112,31.2570281124498
Sonoma,26820,9833,868,296,30.898617511520737
Stanislaus,12600,2611,316,57,39.87341772151899
Sutter,1816,359,27,14,67.25925925925925
Tehama,500,133,104,51,4.8076923076923075
Trinity,137,45,12,4,11.416666666666666
Tulare,6660,1389,294,40,22.653061224489797
Tuolumne,1053,257,78,27,13.5
Ventura,45453,12695,1217,244,37.348397699260474
Yolo,9926,3007,388,131,25.582474226804123
Yuba,1678,277,26,0,64.53846153846153
