zip,city,ev_2025,ev_2021,station_count,l2_ports,dcfc_ports,total_ports,total_ports_2021,ports_within_radius,evs_within_radius,evs_per_port_nearby,access_class,evs_per_port,vs_state_avg,evs_added,ports_added,service_category
90001,,561,99,0,0,0,0,0,7173.0,138704.0,19.33695803708351,"Fewer than 1,000 EVs",,,462,0,"Fewer than 1,000 EVs"
90002,Los Angeles,566,89,3,5,2,7,1,5615.0,132608.0,23.61674087266251,"Fewer than 1,000 EVs",80.85714285714286,2.4297874870632423,477,6,"Fewer than 1,000 EVs"
90003,Los Angeles,691,81,3,3,0,3,0,7302.0,155087.0,21.238975623116954,"Fewer than 1,000 EVs",230.33333333333334,6.921603106551769,610,3,"Fewer than 1,000 EVs"
90004,Los Angeles,2718,738,15,107,0,107,25,9415.0,192669.0,20.46404673393521,Well served,25.401869158878505,0.7633357010809625,1980,82,At or above average
90005,Los Angeles,1824,327,19,105,0,105,29,9612.0,193529.0,20.134103204327925,Well served,17.37142857142857,0.5220179477506894,1497,76,At or above average
90006,Los Angeles,1203,193,10,39,0,39,20,9489.0,182976.0,19.28295921593424,Well served,30.846153846153847,0.926938499074004,1010,19,At or above average
90007,Los Angeles,714,121,49,157,0,157,46,9006.0,177027.0,19.656562291805464,"Fewer than 1,000 EVs",4.547770700636943,0.13666221624926386,593,111,"Fewer than 1,000 EVs"
90008,Los Angeles,1508,355,10,10,0,10,0,9354.0,184240.0,19.696386572589265,Locally sparse - chargers nearby,150.8,4.531596592480493,1153,10,Severely underserved (>3x state avg)
90009,,24,8,0,0,0,0,0,,,,No location data,,,16,0,"Fewer than 1,000 EVs"
90010,Los Angeles,726,162,8,47,6,53,36,9618.0,191207.0,19.880120607194844,"Fewer than 1,000 EVs",13.69811320754717,0.4116334425380158,564,17,"Fewer than 1,000 EVs"
90011,Los Angeles,899,124,8,20,0,20,0,8003.0,162438.0,20.297138573035113,"Fewer than 1,000 EVs",44.95,1.3507643689124544,775,20,"Fewer than 1,000 EVs"
