zip,ev_2025,total_ports,evs_per_port,vs_state_avg
92679,4563,1,4563.0,137.1198624104011
95843,2148,1,2148.0,64.54820610509348
91040,1829,1,1829.0,54.9621363902309
94131,2859,2,1429.5,42.95701146519141
95120,6427,5,1285.4,38.62675238709831
90605,1213,1,1213.0,36.45110521670316
90807,1966,2,983.0,29.53951890191196
92843,1915,2,957.5,28.77323433222859
94707,1913,2,956.5,28.74318395694689
91381,3725,4,931.25,27.98441198108394
95132,3597,4,899.25,27.022799972069514
95409,1771,2,885.5,26.609607311946128
95829,2395,3,798.3333333333334,23.99021626655787
91792,1532,2,766.0,23.018587465782872
94605,2298,3,766.0,23.018587465782872
91724,1387,2,693.5,20.83993525785956
92869,2645,4,661.25,19.870810655024705
92883,3762,6,627.0,18.84158530162645
92844,1243,2,621.5,18.676308237577096
94611,5202,9,578.0,17.369116912823106
