zip,ev_2025,ev_2021,station_count,l2_ports,dcfc_ports,total_ports,total_ports_2021,city,latitude,longitude,ports_within_radius,evs_within_radius,evs_per_port_in_zip,evs_per_port_nearby,access_class
90001,561,99,0,0,0,0,0,,33.97365,-118.24904,7173.0,138704,,19.33695803708351,"Fewer than 1,000 EVs"
90002,566,89,3,5,2,7,1,Los Angeles,33.94906,-118.24679,5615.0,132608,80.85714285714286,23.61674087266251,"Fewer than 1,000 EVs"
90003,691,81,3,3,0,3,0,Los Angeles,33.96409,-118.27368,7302.0,155087,230.33333333333334,21.238975623116954,"Fewer than 1,000 EVs"
90004,2718,738,15,107,0,107,25,Los Angeles,34.07624,-118.31101,9415.0,192669,25.401869158878505,20.46404673393521,Well served
90005,1824,327,19,105,0,105,29,Los Angeles,34.05939,-118.30909,9612.0,193529,17.37142857142857,20.134103204327925,Well served
90006,1203,193,10,39,0,39,20,Los Angeles,34.04807,-118.29411,9489.0,182976,30.846153846153847,19.28295921593424,Well served
90007,714,121,49,157,0,157,46,Los Angeles,34.02819,-118.28486,9006.0,177027,4.547770700636943,19.656562291805464,"Fewer than 1,000 EVs"
90008,1508,355,10,10,0,10,0,Los Angeles,34.01037,-118.3428,9354.0,184240,150.8,19.696386572589265,Locally sparse - chargers nearby
90010,726,162,8,47,6,53,36,Los Angeles,34.06209,-118.31262,9618.0,191207,13.69811320754717,19.880120607194844,"Fewer than 1,000 EVs"
90011,899,124,8,20,0,20,0,Los Angeles,34.00689,-118.25861,8003.0,162438,44.95,20.297138573035113,"Fewer than 1,000 EVs"
90012,2652,977,63,449,40,489,230,Los Angeles,34.06679,-118.23878,7588.0,149909,5.423312883435583,19.75606220347918,Well served
90013,723,221,14,81,2,83,4,Los Angeles,34.04435,-118.24,7754.0,155074,8.710843373493976,19.99922620582925,"Fewer than 1,000 EVs"
90014,483,181,29,76,0,76,5,Los Angeles,34.04302,-118.25182,8278.0,155228,6.355263157894737,18.75187243295482,"Fewer than 1,000 EVs"
90015,1512,389,76,267,12,279,41,Los Angeles,34.03932,-118.26625,8335.0,172810,5.419354838709677,20.733053389322137,Well served
90016,2051,434,21,33,3,36,6,Los Angeles,34.02881,-118.35436,9586.0,184127,56.97222222222222,19.207907364907157,Well served
90017,1417,375,43,100,1,101,23,Los Angeles,34.05306,-118.26447,8595.0,164592,14.029702970297029,19.149738219895287,Well served
90018,1360,312,9,14,0,14,0,Los Angeles,34.0286,-118.31737,9806.0,178827,97.14285714285714,18.23648786457271,Locally sparse - chargers nearby
90019,3036,780,11,26,1,27,3,Los Angeles,34.04861,-118.33874,10216.0,196790,112.44444444444444,19.262920908379012,Locally sparse - chargers nearby
90020,1512,387,8,56,10,66,2,Los Angeles,34.06638,-118.30986,9565.0,190358,22.90909090909091,19.901515943544172,Well served
90021,381,112,13,48,44,92,30,Los Angeles,34.02909,-118.23889,7546.0,147369,4.141304347826087,19.529419560031805,"Fewer than 1,000 EVs"
90022,799,135,1,0,6,6,0,Los Angeles,34.02455,-118.15608,5042.0,115894,133.16666666666666,22.98571995239984,"Fewer than 1,000 EVs"
90023,506,112,1,2,0,2,0,Los Angeles,34.02264,-118.19986,6171.0,125144,253.0,20.279371252633286,"Fewer than 1,000 EVs"
90024,3195,1102,19,61,0,61,49,Los Angeles,34.06565,-118.43521,8210.0,181044,52.377049180327866,22.051644336175396,Well served
90025,4128,1247,115,533,27,560,365,Los Angeles,34.04551,-118.44583,7667.0,159638,7.371428571428571,20.82144254597626,Well served
90026,2891,977,20,46,2,48,13,Los Angeles,34.07883,-118.2637,8092.0,164645,60.229166666666664,20.346638655462186,Well served
90027,3074,1072,20,122,26,148,38,Los Angeles,34.12515,-118.29049,7962.0,174444,20.77027027027027,21.909570459683497,Well served
90028,1955,431,83,291,36,327,99,Los Angeles,34.09982,-118.3268,9129.0,176040,5.978593272171254,19.28360170883996,Well served
90029,945,227,17,46,0,46,16,Los Angeles,34.08983,-118.29467,8553.0,176752,20.543478260869566,20.66549748626213,"Fewer than 1,000 EVs"
90031,1261,278,7,5,16,21,1,Los Angeles,34.08122,-118.21081,6967.0,149972,60.04761904761905,21.52605138510119,Well served
90032,1437,388,42,120,22,142,0,Los Angeles,34.0793,-118.17835,5994.0,142197,10.119718309859154,23.723223223223222,Well served
90033,542,103,36,153,14,167,2,Los Angeles,34.05117,-118.21165,6499.0,146052,3.245508982035928,22.472995845514696,"Fewer than 1,000 EVs"
90034,3692,997,36,82,46,128,35,Los Angeles,34.03059,-118.39936,9210.0,178100,28.84375,19.337676438653638,Well served
90035,2685,658,24,50,0,50,19,Los Angeles,34.05139,-118.38577,9441.0,191542,53.7,20.288316915580978,Well served
90036,3284,860,29,135,0,135,30,Los Angeles,34.07013,-118.34978,10083.0,203814,24.325925925925926,20.213626896756917,Well served
90037,652,105,9,16,2,18,1,Los Angeles,34.00271,-118.28747,8671.0,159456,36.22222222222222,18.389574443547456,"Fewer than 1,000 EVs"
90038,1325,288,62,403,83,486,207,Los Angeles,34.08882,-118.32671,9403.0,183605,2.7263374485596708,19.526215037753907,Well served
90039,2409,894,42,88,2,90,5,Los Angeles,34.11242,-118.26153,7721.0,160894,26.766666666666666,20.838492423261236,Well served
90040,368,97,3,2,60,62,2,Commerce,33.99318,-118.1489,4343.0,102401,5.935483870967742,23.578402026249137,"Fewer than 1,000 EVs"
90041,1835,611,17,21,0,21,2,Los Angeles,34.13749,-118.20746,6531.0,137952,87.38095238095238,21.12264584290308,Locally sparse - chargers nearby
90042,2721,830,19,230,8,238,135,Los Angeles,34.11475,-118.192,6326.0,145679,11.432773109243698,23.028612077141954,Well served
90043,1982,440,7,9,0,9,0,Los Angeles,33.98876,-118.33519,9083.0,170098,220.22222222222223,18.727072553121214,Locally sparse - chargers nearby
90044,1114,158,12,41,5,46,22,Los Angeles,33.95253,-118.29194,6687.0,151081,24.217391304347824,22.59324061612083,Well served
90045,14524,1158,79,424,15,439,160,Los Angeles,33.95302,-118.40028,6318.0,141831,33.08428246013668,22.44871794871795,Well served
90046,4662,1622,50,359,10,369,132,West Hollywood,34.10752,-118.36575,9443.0,189374,12.634146341463415,20.054431854283596,Well served
90047,1422,245,8,7,8,15,4,Los Angeles,33.95456,-118.30899,7586.0,153712,94.8,20.262588979699448,Locally sparse - chargers nearby
90048,2423,710,44,212,16,228,71,Los Angeles,34.07293,-118.3727,9880.0,200326,10.62719298245614,20.27591093117409,Well served
90049,5801,2154,35,190,4,194,95,Los Angeles,34.08749,-118.48976,6796.0,149857,29.9020618556701,22.0507651559741,Well served
90056,849,266,5,15,0,15,8,Los Angeles,33.99361,-118.36884,8620.0,166842,56.6,19.35522041763341,"Fewer than 1,000 EVs"
90057,769,183,6,58,0,58,40,Los Angeles,34.06205,-118.27704,8796.0,168677,13.258620689655173,19.176557526148247,"Fewer than 1,000 EVs"
90058,223,74,24,4,41,45,0,Vernon,34.00264,-118.21452,6051.0,125354,4.955555555555556,20.71624524871922,"Fewer than 1,000 EVs"
90059,569,89,4,11,8,19,4,Los Angeles,33.92709,-118.2491,5224.0,124728,29.94736842105263,23.875957120980093,"Fewer than 1,000 EVs"
90061,437,63,5,5,0,5,2,Los Angeles,33.92037,-118.27383,5015.0,124607,87.4,24.846859421734795,"Fewer than 1,000 EVs"
90062,687,110,1,1,0,1,0,Los Angeles,34.0035,-118.30904,9204.0,174975,687.0,19.010756192959583,"Fewer than 1,000 EVs"
90063,1331,326,1,4,0,4,4,Los Angeles,34.0452,-118.18583,6155.0,136906,332.75,22.243054427294883,Locally sparse - chargers nearby
90064,3716,1149,51,149,22,171,41,Los Angeles,34.0358,-118.42653,8399.0,170829,21.730994152046783,20.33920704845815,Well served
90065,2858,928,9,23,0,23,2,Los Angeles,34.10867,-118.22813,7110.0,155661,124.26086956521739,21.89324894514768,Locally sparse - chargers nearby
90066,4951,1589,22,146,12,158,12,Los Angeles,34.00166,-118.43104,7148.0,153106,31.335443037974684,21.419418019026303,Well served
90067,925,356,85,348,3,351,30,Los Angeles,34.0565,-118.41373,9041.0,177339,2.635327635327635,19.614976219444753,"Fewer than 1,000 EVs"
90068,2792,1078,66,167,1,168,31,Los Angeles,34.12794,-118.32914,8576.0,181080,16.61904761904762,21.11473880597015,Well served
90069,2466,851,35,74,8,82,38,West Hollywood,34.09401,-118.38154,9361.0,205529,30.073170731707318,21.95588078196774,Well served
90071,46,30,53,119,4,123,30,Los Angeles,34.05239,-118.25518,8236.0,164046,0.37398373983739835,19.91816415735794,"Fewer than 1,000 EVs"
90073,5,0,0,0,0,0,0,,34.05738,-118.45956,7296.0,163382,,22.393366228070175,"Fewer than 1,000 EVs"
90077,1867,686,6,85,0,85,5,Los Angeles,34.10536,-118.45591,7653.0,164405,21.96470588235294,21.482425192734876,Well served
90079,0,1,0,0,0,0,0,,34.04058,-118.25541,8313.0,155957,,18.76061590280284,"Fewer than 1,000 EVs"
90089,26,17,12,59,0,59,0,Los Angeles,34.02158,-118.2856,9135.0,167548,0.4406779661016949,18.341324575807334,"Fewer than 1,000 EVs"
90094,1572,557,21,37,15,52,25,Los Angeles,33.97523,-118.41837,6854.0,151491,30.23076923076923,22.10256784359498,Well served
90095,147,42,5,41,6,47,47,Los Angeles,34.07121,-118.44334,7898.0,174161,3.127659574468085,22.0512788047607,"Fewer than 1,000 EVs"
90201,1316,190,4,0,4,4,0,Bell,33.97113,-118.1709,4554.0,100176,329.0,21.99736495388669,Locally sparse - chargers nearby
90210,3759,1371,53,100,0,100,37,Beverly Hills,34.10251,-118.41505,8851.0,177154,37.59,20.015139532256242,Well served
90211,1282,382,4,7,0,7,0,Beverly Hills,34.06498,-118.38293,9650.0,192492,183.14285714285714,19.947357512953367,Locally sparse - chargers nearby
90212,1731,513,18,54,0,54,14,Beverly Hills,34.06208,-118.40173,9502.0,184405,32.05555555555556,19.406966954325405,Well served
90220,884,157,4,6,4,10,4,Compton,33.88058,-118.23591,3291.0,103202,88.4,31.35885749012458,"Fewer than 1,000 EVs"
90221,655,117,12,20,2,22,0,Compton,33.88542,-118.20614,2760.0,88331,29.772727272727273,32.00398550724638,"Fewer than 1,000 EVs"
90222,410,63,0,0,0,0,0,,33.91213,-118.23721,4322.0,116905,,27.048819990745024,"Fewer than 1,000 EVs"
90230,2458,775,34,71,29,100,45,Culver City,33.99691,-118.39487,8395.0,165077,24.58,19.663728409767717,Well served
90232,1629,571,65,208,17,225,39,Culver City,34.01859,-118.39157,8998.0,173254,7.24,19.254723271838188,Well served
90240,1377,342,3,2,20,22,12,Downey,33.9564,-118.11803,2817.0,93995,62.59090909090909,33.36705715299964,Well served
90241,1770,447,22,43,19,62,42,Downey,33.94076,-118.1295,2686.0,89957,28.548387096774192,33.49106478034252,Well served
90242,1241,268,8,80,6,86,86,Downey,33.92216,-118.14167,2485.0,87378,14.430232558139535,35.162173038229376,Well served
90245,1562,549,61,162,4,166,48,El Segundo,33.91709,-118.40161,4957.0,125201,9.409638554216867,25.257413758321565,Well served
90247,1551,343,8,45,11,56,6,Gardena,33.89159,-118.29735,3322.0,108469,27.696428571428573,32.65171583383504,Well served
90248,672,215,21,35,32,67,0,Carson,33.87689,-118.28362,3382.0,113648,10.029850746268657,33.603784742755764,"Fewer than 1,000 EVs"
90249,1115,236,2,30,0,30,2,Gardena,33.90152,-118.31707,3730.0,114461,37.166666666666664,30.686595174262735,Well served
90250,3212,846,21,40,41,81,50,Hawthorne,33.91383,-118.34996,3864.0,126977,39.65432098765432,32.86154244306418,Well served
90254,2426,997,6,30,28,58,30,Hermosa Beach,33.86532,-118.39616,2661.0,100601,41.827586206896555,37.80571213829388,Well served
90255,829,154,2,0,18,18,0,Huntington Park,33.97697,-118.21725,5347.0,116359,46.05555555555556,21.76154853188704,"Fewer than 1,000 EVs"
90260,1069,246,2,2,8,10,0,Lawndale,33.88768,-118.34952,3158.0,115592,106.9,36.60291323622546,Locally sparse - chargers nearby
90262,849,149,4,8,0,8,6,Lynwood,33.92384,-118.20133,4271.0,90117,106.125,21.09974244907516,"Fewer than 1,000 EVs"
90263,13,0,6,12,0,12,2,Malibu,34.03919,-118.70809,436.0,12860,1.0833333333333333,29.495412844036696,"Fewer than 1,000 EVs"
90265,1786,874,58,140,40,180,23,Malibu,34.07282,-118.84995,525.0,20849,9.922222222222222,39.712380952380954,Well served
90266,5316,2437,38,89,38,127,91,Manhattan Beach,33.88968,-118.39705,3329.0,111519,41.85826771653543,33.49924902373085,Well served
90270,288,46,0,0,0,0,0,,33.98856,-118.18774,4660.0,108516,,23.286695278969958,"Fewer than 1,000 EVs"
90272,2424,1703,9,23,10,33,16,Pacific Palisades,34.08066,-118.54459,4366.0,114836,73.45454545454545,26.302336234539624,Locally sparse - chargers nearby
90274,4128,1669,8,22,5,27,10,Rolling Hills Estates,33.77732,-118.3684,1539.0,58839,152.88888888888889,38.23196881091618,Locally sparse - chargers nearby
90275,5706,2033,6,12,0,12,4,Rancho Palos Verdes,33.7555,-118.36338,1312.0,51399,475.5,39.176067073170735,Locally sparse - chargers nearby
90277,3484,1298,8,14,6,20,2,Redondo Beach,33.83099,-118.38441,2161.0,82982,174.2,38.39981490050902,Locally sparse - chargers nearby
90278,4326,1577,7,7,13,20,9,Redondo Beach,33.87362,-118.37028,2752.0,105334,216.3,38.27543604651163,Locally sparse - chargers nearby
90280,1488,252,5,6,15,21,5,South Gate,33.94453,-118.19256,4358.0,99512,70.85714285714286,22.83432767324461,Locally sparse - chargers nearby
90290,850,381,1,2,0,2,0,Topanga,34.09725,-118.6125,2295.0,64070,425.0,27.917211328976034,"Fewer than 1,000 EVs"
90291,2717,1071,9,42,2,44,32,Los Angeles,33.99447,-118.46315,5746.0,131885,61.75,22.952488687782804,Well served
90292,3111,1067,19,194,18,212,74,Marina Del Rey,33.97865,-118.44707,5708.0,134252,14.674528301886792,23.519971969166082,Well served
90293,1167,413,3,3,0,3,1,Los Angeles,33.95071,-118.43745,5231.0,128661,389.0,24.59587077040719,Locally sparse - chargers nearby
90301,5137,150,26,38,64,102,4,Inglewood,33.95647,-118.35863,8419.0,154458,50.36274509803921,18.34635942510987,Well served
90302,857,197,0,0,0,0,0,,33.97472,-118.35565,8920.0,164694,,18.463452914798207,"Fewer than 1,000 EVs"
90303,590,79,6,20,52,72,0,Inglewood,33.93601,-118.33112,6316.0,147250,8.194444444444445,23.313806206459784,"Fewer than 1,000 EVs"
90304,493,86,2,4,0,4,2,Inglewood,33.93736,-118.35879,6798.0,152372,123.25,22.414239482200646,"Fewer than 1,000 EVs"
90305,768,155,10,19,0,19,0,Inglewood,33.9583,-118.33113,8594.0,159284,40.421052631578945,18.534326274144753,"Fewer than 1,000 EVs"
90401,1420,281,99,171,57,228,79,Santa Monica,34.01584,-118.49251,4950.0,121955,6.228070175438597,24.63737373737374,Well served
90402,1986,899,3,5,0,5,5,Santa Monica,34.03598,-118.50391,4986.0,129423,397.2,25.95728038507822,Locally sparse - chargers nearby
90403,2421,892,17,57,4,61,42,Santa Monica,34.03164,-118.48975,5625.0,131061,39.68852459016394,23.299733333333332,Well served
90404,1601,513,52,111,96,207,29,Santa Monica,34.02665,-118.47381,6246.0,142576,7.734299516908212,22.826769132244635,Well served
90405,2935,1145,69,203,0,203,30,Santa Monica,34.01208,-118.4679,5948.0,140889,14.458128078817735,23.686785474108945,Well served
90501,2619,850,60,140,6,146,33,Torrance,33.8336,-118.31419,2745.0,96423,17.938356164383563,35.126775956284156,Well served
90502,916,223,20,97,0,97,8,Torrance,33.83497,-118.29291,2820.0,86026,9.443298969072165,30.50567375886525,"Fewer than 1,000 EVs"
90503,3454,1018,49,82,52,134,20,Torrance,33.84089,-118.3538,2340.0,90915,25.776119402985074,38.8525641025641,Well served
90504,1978,593,9,12,6,18,0,Torrance,33.86693,-118.33135,2622.0,106018,109.88888888888889,40.43401983218917,Locally sparse - chargers nearby
90505,2826,880,31,63,20,83,9,Torrance,33.80904,-118.34775,2310.0,66109,34.04819277108434,28.61861471861472,Well served
90506,2,2,0,0,0,0,0,,33.88493,-118.33044,3101.0,115118,,37.12286359238955,"Fewer than 1,000 EVs"
90601,1565,448,13,52,7,59,33,Whittier,34.0078,-118.03287,2007.0,104926,26.52542372881356,52.280019930244144,Well served
90602,993,193,1,2,0,2,2,Whittier,33.97317,-118.02341,2138.0,101911,496.5,47.6665107577175,"Fewer than 1,000 EVs"
90603,994,268,2,0,26,26,0,Whittier,33.94487,-117.99239,2610.0,105390,38.23076923076923,40.37931034482759,"Fewer than 1,000 EVs"
90604,1328,326,5,10,0,10,2,Whittier,33.93012,-118.01226,2641.0,99738,132.8,37.76524043922757,Locally sparse - chargers nearby
90605,1213,311,1,0,1,1,0,Whittier,33.95209,-118.02085,2433.0,98596,1213.0,40.52445540484998,Locally sparse - chargers nearby
90606,764,192,6,4,20,24,0,Whittier,33.97742,-118.0661,2335.0,98073,31.833333333333332,42.00128479657388,"Fewer than 1,000 EVs"
90620,2574,633,6,4,36,40,8,Buena Park,33.84616,-118.01176,2780.0,123819,64.35,44.53920863309352,Well served
90621,2568,542,12,23,45,68,36,Buena Park,33.87396,-117.99346,2682.0,111700,37.76470588235294,41.64802386278896,Well served
90623,1370,385,0,0,0,0,0,,33.85038,-118.04088,2811.0,107771,,38.33902525791533,Locally sparse - chargers nearby
90630,4099,1053,56,91,12,103,0,Cypress,33.81814,-118.03814,2900.0,116744,39.79611650485437,40.25655172413793,Well served
90631,3654,857,12,17,4,21,1,La Habra,33.94266,-117.95126,2412.0,106031,174.0,43.95978441127695,Locally sparse - chargers nearby
90638,2719,658,27,50,4,54,7,La Mirada,33.90236,-118.00907,2653.0,103839,50.351851851851855,39.1402186204297,Well served
90639,6,0,0,0,0,0,0,,33.90565,-118.01499,2669.0,106216,,39.796178343949045,"Fewer than 1,000 EVs"
