zip,ev_2025,ev_2021,station_count,l2_ports,dcfc_ports,total_ports,total_ports_2021,city
90001,561,99,0,0,0,0,0,
90002,566,89,3,5,2,7,1,Los Angeles
90003,691,81,3,3,0,3,0,Los Angeles
90004,2718,738,15,107,0,107,25,Los Angeles
90005,1824,327,19,105,0,105,29,Los Angeles
90006,1203,193,10,39,0,39,20,Los Angeles
90007,714,121,49,157,0,157,46,Los Angeles
90008,1508,355,10,10,0,10,0,Los Angeles
90009,24,8,0,0,0,0,0,
90010,726,162,8,47,6,53,36,Los Angeles
90011,899,124,8,20,0,20,0,Los Angeles
90012,2652,977,63,449,40,489,230,Los Angeles
90013,723,221,14,81,2,83,4,Los Angeles
90014,483,181,29,76,0,76,5,Los Angeles
90015,1512,389,76,267,12,279,41,Los Angeles
90016,2051,434,21,33,3,36,6,Los Angeles
90017,1417,375,43,100,1,101,23,Los Angeles
90018,1360,312,9,14,0,14,0,Los Angeles
90019,3036,780,11,26,1,27,3,Los Angeles
90020,1512,387,8,56,10,66,2,Los Angeles
90021,381,112,13,48,44,92,30,Los Angeles
90022,799,135,1,0,6,6,0,Los Angeles
90023,506,112,1,2,0,2,0,Los Angeles
90024,3195,1102,19,61,0,61,49,Los Angeles
90025,4128,1247,115,533,27,560,365,Los Angeles
90026,2891,977,20,46,2,48,13,Los Angeles
90027,3074,1072,20,122,26,148,38,Los Angeles
90028,1955,431,83,291,36,327,99,Los Angeles
90029,945,227,17,46,0,46,16,Los Angeles
90030,0,0,1,7,0,7,0,Los Angeles
90031,1261,278,7,5,16,21,1,Los Angeles
90032,1437,388,42,120,22,142,0,Los Angeles
90033,542,103,36,153,14,167,2,Los Angeles
90034,3692,997,36,82,46,128,35,Los Angeles
90035,2685,658,24,50,0,50,19,Los Angeles
90036,3284,860,29,135,0,135,30,Los Angeles
90037,652,105,9,16,2,18,1,Los Angeles
90038,1325,288,62,403,83,486,207,Los Angeles
90039,2409,894,42,88,2,90,5,Los Angeles
90040,368,97,3,2,60,62,2,Commerce
90041,1835,611,17,21,0,21,2,Los Angeles
90042,2721,830,19,230,8,238,135,Los Angeles
90043,1982,440,7,9,0,9,0,Los Angeles
90044,1114,158,12,41,5,46,22,Los Angeles
90045,14524,1158,79,424,15,439,160,Los Angeles
90046,4662,1622,50,359,10,369,132,West Hollywood
90047,1422,245,8,7,8,15,4,Los Angeles
90048,2423,710,44,212,16,228,71,Los Angeles
90049,5801,2154,35,190,4,194,95,Los Angeles
90050,2,0,0,0,0,0,0,
90051,5,3,0,0,0,0,0,
90053,4,1,0,0,0,0,0,
90054,3,0,0,0,0,0,0,
90055,1,1,0,0,0,0,0,
90056,849,266,5,15,0,15,8,Los Angeles
90057,769,183,6,58,0,58,40,Los Angeles
90058,223,74,24,4,41,45,0,Vernon
90059,569,89,4,11,8,19,4,Los Angeles
90061,437,63,5,5,0,5,2,Los Angeles
90062,687,110,1,1,0,1,0,Los Angeles
90063,1331,326,1,4,0,4,4,Los Angeles
90064,3716,1149,51,149,22,171,41,Los Angeles
90065,2858,928,9,23,0,23,2,Los Angeles
90066,4951,1589,22,146,12,158,12,Los Angeles
90067,925,356,85,348,3,351,30,Los Angeles
90068,2792,1078,66,167,1,168,31,Los Angeles
90069,2466,851,35,74,8,82,38,West Hollywood
90070,1,0,0,0,0,0,0,
90071,46,30,53,119,4,123,30,Los Angeles
90072,1,0,0,0,0,0,0,
90073,5,0,0,0,0,0,0,
90074,1,0,0,0,0,0,0,
90075,3,1,0,0,0,0,0,
90076,1,2,0,0,0,0,0,
90077,1867,686,6,85,0,85,5,Los Angeles
90078,13,5,0,0,0,0,0,
90079,0,1,0,0,0,0,0,
90080,1,0,0,0,0,0,0,
90081,1,0,0,0,0,0,0,
90082,1,0,0,0,0,0,0,
90083,3,1,0,0,0,0,0,
90086,12,2,0,0,0,0,0,
90089,26,17,12,59,0,59,0,Los Angeles
90091,0,1,0,0,0,0,0,
90093,6,7,0,0,0,0,0,
90094,1572,557,21,37,15,52,25,Los Angeles
90095,147,42,5,41,6,47,47,Los Angeles
90201,1316,190,4,0,4,4,0,Bell
90202,0,1,0,0,0,0,0,
90203,0,1,0,0,0,0,0,
90204,1,0,0,0,0,0,0,
90209,36,64,0,0,0,0,0,
90210,3759,1371,53,100,0,100,37,Beverly Hills
90211,1282,382,4,7,0,7,0,Beverly Hills
90212,1731,513,18,54,0,54,14,Beverly Hills
90213,26,5,0,0,0,0,0,
90220,884,157,4,6,4,10,4,Compton
90221,655,117,12,20,2,22,0,Compton
90222,410,63,0,0,0,0,0,
90223,5,2,0,0,0,0,0,
90224,1,2,0,0,0,0,0,
90230,2458,775,34,71,29,100,45,Culver City
90231,14,5,0,0,0,0,0,
